player_id,player_url,fifa_version,fifa_update,fifa_update_date,short_name,long_name,player_positions,overall,potential,value_eur,wage_eur,age,dob,height_cm,weight_kg,league_id,league_name,league_level,club_team_id,club_name,club_position,club_jersey_number,club_loaned_from,club_joined_date,club_contract_valid_until_year,nationality_id,nationality_name,nation_team_id,nation_position,nation_jersey_number,preferred_foot,weak_foot,skill_moves,international_reputation,work_rate,body_type,real_face,release_clause_eur,player_tags,player_traits,pace,shooting,passing,dribbling,defending,physic,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking_awareness,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,goalkeeping_speed,ls,st,rs,lw,lf,cf,rf,rw,lam,cam,ram,lm,lcm,cm,rcm,rm,lwb,ldm,cdm,rdm,rwb,lb,lcb,cb,rcb,rb,gk,player_face_url
158023,/player/158023/lionel-messi/230009,23,9,2023-01-13,L. Messi,Lionel Andrés Messi Cuccittini,RW,91,91,54000000.0,195000.0,35,1987-06-24,169,67,16.0,Ligue 1,1.0,73.0,Paris Saint Germain,RS,30.0,,2021-08-10,2023.0,52,Argentina,1369.0,RW,10.0,Left,4,4,5,Low/Low,Unique,Yes,99900000.0,"#Dribbler, #Distance Shooter, #FK Specialist, #Acrobat, #Clinical Finisher, #Complete Forward","Finesse Shot, Long Shot Taker (AI), Playmaker (AI), Outside Foot Shot, Chip Shot (AI), Technical Dribbler (AI)",81.0,89.0,90.0,94.0,34.0,64.0,84,90,70,91,88,95,93,93,90,93,87,76,91,92,95,86,68,70,68,91,44,40,93,94,75,96,20,35,24,6,11,15,14,8,,87+3,87+3,87+3,90,91,91,91,90,92-1,92-1,92-1,89+2,85+3,85+3,85+3,89+2,64+3,63+3,63+3,63+3,64+3,59+3,50+3,50+3,50+3,59+3,19+3,https://cdn.sofifa.net/players/158/023/23_120.png
188545,/player/188545/robert-lewandowski/230009,23,9,2023-01-13,R. Lewandowski,Robert Lewandowski,ST,91,91,84000000.0,420000.0,33,1988-08-21,185,81,53.0,La Liga,1.0,241.0,FC Barcelona,ST,9.0,,2022-07-18,2025.0,37,Poland,1353.0,ST,9.0,Right,4,4,5,High/Medium,Unique,Yes,172200000.0,"#Aerial Threat, #Distance Shooter, #Clinical Finisher, #Complete Forward","Solid Player, Finesse Shot, Outside Foot Shot, Chip Shot (AI)",75.0,91.0,79.0,86.0,44.0,83.0,71,94,91,84,89,85,79,85,70,89,76,75,77,93,82,91,85,76,87,84,81,49,94,81,90,88,35,42,19,15,6,12,8,10,,89+2,89+2,89+2,85,88,88,88,85,85+3,85+3,85+3,83+3,80+3,80+3,80+3,83+3,64+3,66+3,66+3,66+3,64+3,61+3,60+3,60+3,60+3,61+3,19+3,https://cdn.sofifa.net/players/188/545/23_120.png
209331,/player/209331/mohamed-salah/230009,23,9,2023-01-13,M. Salah,Mohamed Salah Ghaly,RW,90,90,115500000.0,270000.0,30,1992-06-15,175,71,13.0,Premier League,1.0,9.0,Liverpool,RW,11.0,,2017-07-01,2023.0,111,Egypt,,,,Left,3,4,4,High/Medium,Unique,Yes,213700000.0,"#Dribbler, #Acrobat, #Clinical Finisher, #Complete Forward","Finesse Shot, Long Shot Taker (AI), Speed Dribbler (AI), Outside Foot Shot, Chip Shot (AI)",90.0,89.0,82.0,90.0,45.0,75.0,80,93,59,84,84,90,84,69,77,88,89,90,90,93,91,83,69,87,75,85,63,55,92,85,86,92,38,43,41,14,14,9,11,14,,86+3,86+3,86+3,88,88,88,88,88,88+2,88+2,88+2,87+3,82+3,82+3,82+3,87+3,71+3,68+3,68+3,68+3,71+3,67+3,58+3,58+3,58+3,67+3,22+3,https://cdn.sofifa.net/players/209/331/23_120.png
190871,/player/190871/neymar-da-silva-santos-jr/230009,23,9,2023-01-13,Neymar Jr,Neymar da Silva Santos Júnior,LW,89,89,99500000.0,200000.0,30,1992-02-05,175,68,16.0,Ligue 1,1.0,73.0,Paris Saint Germain,CAM,10.0,,2017-08-03,2025.0,54,Brazil,,,,Right,5,5,5,High/Medium,Unique,Yes,184100000.0,"#Dribbler, #FK Specialist, #Acrobat","Injury Prone, Flair, Speed Dribbler (AI), Playmaker (AI), Outside Foot Shot, Technical Dribbler (AI)",87.0,83.0,85.0,93.0,37.0,61.0,83,83,63,85,86,95,88,87,81,94,88,86,93,88,82,79,62,79,52,81,63,37,86,90,91,93,35,32,29,9,9,15,15,11,,82+3,82+3,82+3,88,88,88,88,88,89,89,89,88+1,82+3,82+3,82+3,88+1,66+3,63+3,63+3,63+3,66+3,61+3,50+3,50+3,50+3,61+3,20+3,https://cdn.sofifa.net/players/190/871/23_120.png
202126,/player/202126/harry-kane/230009,23,9,2023-01-13,H. Kane,Harry Kane,ST,89,89,105500000.0,240000.0,28,1993-07-28,188,89,13.0,Premier League,1.0,18.0,Tottenham Hotspur,ST,10.0,,2010-07-28,2024.0,14,England,1318.0,ST,9.0,Right,5,3,4,High/High,Unique,Yes,200500000.0,"#Distance Shooter, #Clinical Finisher","Leadership, Long Passer (AI), Long Shot Taker (AI), Playmaker (AI), Outside Foot Shot",69.0,91.0,83.0,83.0,47.0,82.0,80,93,85,84,87,83,82,65,86,86,67,70,68,92,73,92,79,83,83,86,80,44,94,87,92,92,50,36,38,8,10,11,14,11,,87+2,87+2,87+2,84,86,86,86,84,85+3,85+3,85+3,84+3,82+3,82+3,82+3,84+3,67+3,68+3,68+3,68+3,67+3,63+3,61+3,61+3,61+3,63+3,20+3,https://cdn.sofifa.net/players/202/126/23_120.png
239085,/player/239085/erling-haaland/230009,23,9,2023-01-13,E. Haaland,Erling Braut Haaland,ST,89,94,160000000.0,230000.0,21,2000-07-21,195,94,13.0,Premier League,1.0,10.0,Manchester City,ST,9.0,,2022-07-01,2027.0,36,Norway,1352.0,ST,9.0,Left,3,3,4,High/Medium,Unique,Yes,308000000.0,"#Aerial Threat, #Distance Shooter, #Strength, #Clinical Finisher, #Complete Forward","Speed Dribbler (AI), Power Header",89.0,91.0,65.0,80.0,49.0,88.0,47,94,79,74,88,78,77,62,53,82,82,94,76,89,74,94,74,81,93,87,87,43,91,74,76,85,44,53,29,7,14,13,11,7,,88+3,88+3,88+3,80,85,85,85,80,80+3,80+3,80+3,78+3,74+3,74+3,74+3,78+3,63+3,64+3,64+3,64+3,63+3,61+3,62+3,62+3,62+3,61+3,19+3,https://cdn.sofifa.net/players/239/085/23_120.png
20801,/player/20801/c-ronaldo-dos-santos-aveiro/230009,23,9,2023-01-13,Cristiano Ronaldo,Cristiano Ronaldo dos Santos Aveiro,ST,88,88,31000000.0,86000.0,37,1985-02-05,187,83,350.0,Pro League,1.0,112139.0,Al Nassr,ST,7.0,,2023-01-01,2025.0,38,Portugal,1354.0,ST,7.0,Right,4,5,5,High/Low,Unique,Yes,52700000.0,"#Distance Shooter, #Clinical Finisher","Power Free-Kick, Flair, Long Shot Taker (AI), Outside Foot Shot",79.0,91.0,76.0,83.0,34.0,72.0,78,91,89,78,85,81,79,75,70,87,76,82,77,90,67,93,95,70,75,88,62,29,93,76,90,94,24,32,24,7,11,15,14,11,,87+1,87+1,87+1,84,86,86,86,84,83+3,83+3,83+3,82+3,75+3,75+3,75+3,82+3,60+3,58+3,58+3,58+3,60+3,57+3,52+3,52+3,52+3,57+3,20+3,https://cdn.sofifa.net/players/020/801/23_120.png
177003,/player/177003/luka-modric/230009,23,9,2023-01-13,L. Modrić,Luka Modrić,CM,88,88,29000000.0,230000.0,36,1985-09-09,172,66,53.0,La Liga,1.0,243.0,Real Madrid,RCM,10.0,,2012-08-01,2023.0,10,Croatia,1328.0,RCM,10.0,Right,4,4,4,Medium/Medium,Lean (170-185),Yes,59500000.0,"#Playmaker, #Crosser, #Acrobat, #Complete Midfielder","Long Passer (AI), Long Shot Taker (AI), Playmaker (AI), Outside Foot Shot, Team Player, Technical Dribbler (AI)",73.0,76.0,89.0,88.0,72.0,66.0,86,72,55,91,76,85,85,78,92,90,76,70,91,88,92,79,67,83,58,82,62,80,78,90,83,92,70,75,72,13,9,7,14,9,,76+3,76+3,76+3,83,82,82,82,83,86+2,86+2,86+2,84+3,87+1,87+1,87+1,84+3,81+3,81+3,81+3,81+3,81+3,79+3,72+3,72+3,72+3,79+3,19+3,https://cdn.sofifa.net/players/177/003/23_120.png
182521,/player/182521/toni-kroos/230009,23,9,2023-01-13,T. Kroos,Toni Kroos,CM,88,88,72000000.0,310000.0,32,1990-01-04,183,76,53.0,La Liga,1.0,243.0,Real Madrid,LCM,8.0,,2014-07-17,2023.0,21,Germany,,,,Right,5,3,4,Medium/Medium,Normal (170-185),Yes,147600000.0,"#Playmaker, #Distance Shooter, #Crosser, #Complete Midfielder","Long Passer (AI), Long Shot Taker (AI), Playmaker (AI)",53.0,81.0,90.0,81.0,71.0,68.0,88,77,58,93,82,80,86,84,93,88,55,52,63,90,71,89,32,75,72,86,60,80,76,89,73,88,71,73,60,10,11,13,7,10,,77+3,77+3,77+3,80,81,81,81,80,83+3,83+3,83+3,81+3,86+2,86+2,86+2,81+3,77+3,81+3,81+3,81+3,77+3,74+3,71+3,71+3,71+3,74+3,19+3,https://cdn.sofifa.net/players/182/521/23_120.png
228702,/player/228702/frenkie-de-jong/230009,23,9,2023-01-13,F. de Jong,Frenkie de Jong,CM,87,92,116500000.0,230000.0,25,1997-05-12,180,74,53.0,La Liga,1.0,241.0,FC Barcelona,RCM,21.0,,2019-07-01,2026.0,34,Netherlands,105035.0,RCM,21.0,Right,3,4,3,High/Medium,Unique,Yes,247600000.0,"#Dribbler, #Playmaker, #Acrobat, #Complete Midfielder","Finesse Shot, Flair, Playmaker (AI), Outside Foot Shot, Technical Dribbler (AI)",82.0,69.0,86.0,87.0,77.0,78.0,78,72,72,91,70,87,84,64,89,89,80,83,87,88,79,68,76,89,74,66,74,82,77,88,53,90,76,76,77,7,13,10,10,9,,78+3,78+3,78+3,83,82,82,82,83,85+3,85+3,85+3,85+3,86+3,86+3,86+3,85+3,83+3,84+3,84+3,84+3,83+3,82+3,78+3,78+3,78+3,82+3,18+3,https://cdn.sofifa.net/players/228/702/23_120.png
